season,show_num,correct_a,correct_b,correct_c,incorrect_a,incorrect_b,incorrect_c,num_since_correct_a,num_since_correct_b,num_since_correct_c,dd_a,dd_b,dd_c,occupation_leader,num_wins_row_champ,final_category,amount_before_final_a,amount_before_final_b,amount_before_final_c,amount_leader_wagered,leader_final_correct,leader_win,leader_win_flag
33,7356,13,14,16,1,2,5,2,4,5,1,0,1,copywriter,0,Asian Islands,10800,9600,5100,10300,Yes,Yes,1
33,7357,12,20,11,2,8,5,2,7,13,0,1,0,copywriter,1,19th Century Military Men,10200,8700,7000,8701,No,No,0
33,7358,19,22,5,0,3,4,2,3,25,1,2,0,filmmaker/author,1,20th Century Science Terms,17600,14000,1200,10401,Yes,Yes,1
33,7359,21,15,16,1,1,2,2,15,1,1,2,0,filmmaker/author,1,Dante's Inferno,19000,14200,10800,9401,No,No,0
33,7360,20,22,9,3,3,4,6,4,1,1,2,0,writer,1,Film Adaptations,16800,15400,6600,14001,No,No,0
33,7361,13,25,9,0,4,1,6,2,5,1,1,0,analytics consultant,2,Authors,16800,14900,7000,13001,No,No,0
33,7362,17,21,8,2,1,3,1,8,6,1,0,0,Ph.D candidate,1,Pop Culture Characters,15600,14800,-1200,15600,Yes,Yes,1
33,7363,23,13,17,6,2,2,5,1,8,1,1,0,Ph.D candidate,2,College Disciplines,12800,10800,10400,10000,Yes,Yes,1
33,7364,26,12,10,4,1,1,7,5,2,1,0,0,Ph.D candidate,3,Opera,22000,5600,4600,0,No,Yes,1
33,7365,25,10,15,1,1,5,1,4,12,2,1,0,Ph.D candidate,4,African Geography,21900,18800,4600,0,No,Yes,1
33,7366,25,14,13,0,0,7,2,4,8,2,0,0,Ph.D candidate,5,International Business,25400,10600,600,600,Yes,Yes,1
33,7367,23,11,12,2,3,2,3,5,2,1,0,0,Ph.D candidate,6,21st Century Music,15800,9100,6800,3000,No,Yes,1
33,7368,24,14,9,1,2,2,3,1,4,1,1,0,Ph.D candidate,7,Historic Homes,17600,12600,4400,7601,Yes,Yes,1
33,7369,21,14,9,2,2,2,2,1,3,0,1,0,Ph.D candidate,8,Mythology,14100,9000,5500,4000,Yes,Yes,1
33,7370,28,13,10,1,5,4,6,1,3,3,0,0,Ph.D candidate,9,Corporate Logos,26000,6200,2400,4000,No,Yes,1
33,7371,17,16,10,3,5,5,1,2,6,0,0,0,Ph.D candidate,10,Christianity,11600,6600,400,1601,Yes,Yes,1
33,7372,26,13,8,1,3,3,4,9,3,1,0,0,Ph.D candidate,11,In the Novel,19400,6400,-400,600,Yes,Yes,1
33,7373,27,14,7,3,4,2,1,3,6,1,1,0,Ph.D candidate,12,The Economy,19000,17000,1800,5,Yes,No,0
33,7374,20,16,14,2,3,3,1,13,3,1,0,0,Author,1,Secretaries of State,17800,6800,1200,4000,Yes ,Yes,1
33,7375,21,14,16,5,4,3,2,3,1,1,0,2,Systems Engineer,1,Television,14600,9600,8300,4700,Yes,Yes,1
